location,bounding_coords
flotta,"[(-3.057829985230527, 58.87120129903605), (-3.057829985230527, 58.805463386036166), (-3.1848709510394135, 58.805463386036166), (-3.1848709510394135, 58.87120129903605), (-3.057829985230527, 58.87120129903605)]"
dalmney,"[(-3.3047812416666362, 56.011643861447254), (-3.3047812416666362, 55.940559555558686), (-3.4318222074755234, 55.940559555558686), (-3.4318222074755234, 56.011643861447254), (-3.3047812416666362, 56.011643861447254)]"
garelochhead,"[(-4.772129039581196, 56.14810452831125), (-4.772129039581196, 56.07727142784035), (-4.899170005390083, 56.07727142784035), (-4.899170005390083, 56.14810452831125), (-4.772129039581196, 56.14810452831125)]"
shetland,"[(-1.2187870422384166, 60.50035169873287), (-1.2187870422384166, 60.43773402388186), (-1.3458280080473033, 60.43773402388186), (-1.3458280080473033, 60.50035169873287), (-1.2187870422384166, 60.50035169873287)]"
milford haven,"[(-4.962688542878826, 51.72701803945152), (-4.962688542878826, 51.64825923090566), (-5.0897295086877135, 51.64825923090566), (-5.0897295086877135, 51.72701803945152), (-4.962688542878826, 51.72701803945152)]"
bantry,"[(-9.457951369065237, 51.72371097767688), (-9.457951369065237, 51.64494641071123), (-9.584992334874121, 51.64494641071123), (-9.584992334874121, 51.72371097767688), (-9.457951369065237, 51.72371097767688)]"
middlesbrough,"[(-1.1484378466247167, 54.67389211070646), (-1.1484378466247167, 54.60036681827033), (-1.2754788124336034, 54.60036681827033), (-1.2754788124336034, 54.67389211070646), (-1.1484378466247167, 54.67389211070646)]"
immingham,"[(-0.1906563590715226, 53.68193630164516), (-0.1906563590715226, 53.60662686944885), (-0.3176973248804094, 53.60662686944885), (-0.3176973248804094, 53.68193630164516), (-0.1906563590715226, 53.68193630164516)]"
tetney,"[(0.0645309495374365, 53.53769547728483), (0.0645309495374365, 53.462128484570094), (-0.0625100162714503, 53.462128484570094), (-0.0625100162714503, 53.53769547728483), (0.0645309495374365, 53.53769547728483)]"
hamble-le-rice,"[(-1.2992652693559066, 50.8729194260052), (-1.2992652693559066, 50.79268221315441), (-1.4263062351647935, 50.79268221315441), (-1.4263062351647935, 50.8729194260052), (-1.2992652693559066, 50.8729194260052)]"
tranmere,"[(-2.9405495470712566, 53.41431693504751), (-2.9405495470712566, 53.338530015080245), (-3.0675905128801433, 53.338530015080245), (-3.0675905128801433, 53.41431693504751), (-2.9405495470712566, 53.41431693504751)]"
stanlow,"[(-2.7893744253264763, 53.30703508117585), (-2.7893744253264763, 53.23105721332252), (-2.916415391135363, 53.23105721332252), (-2.916415391135363, 53.30703508117585), (-2.7893744253264763, 53.30703508117585)]"
